feature,modality,selected_by_EN,perm_imp_mse_increase_train,perm_imp_mse_increase_train_std
logRelF0-H1-A3_sma3nz_stddevNorm,egemaps,False,0.0,0.0
mfcc2_sma3_amean,egemaps,False,0.0,0.0
mfcc3_sma3_amean,egemaps,False,0.0,0.0
HNRdBACF_sma3nz_stddevNorm,egemaps,False,0.0,0.0
mfcc3_sma3_stddevNorm,egemaps,False,0.0,0.0
mfcc4_sma3_amean,egemaps,False,0.0,0.0
F2bandwidth_sma3nz_stddevNorm,egemaps,False,0.0,0.0
F2amplitudeLogRelF0_sma3nz_stddevNorm,egemaps,False,0.0,0.0
jitterLocal_sma3nz_stddevNorm,egemaps,False,0.0,0.0
hammarbergIndexV_sma3nz_stddevNorm,egemaps,False,0.0,0.0
spectralFluxV_sma3nz_stddevNorm,egemaps,False,0.0,0.0
spectralFluxV_sma3nz_amean,egemaps,False,0.0,0.0
spectralFlux_sma3_amean,egemaps,False,0.0,0.0
spectralFlux_sma3_stddevNorm,egemaps,False,0.0,0.0
slopeV0-500_sma3nz_stddevNorm,egemaps,False,0.0,0.0
mfcc1_sma3_amean,egemaps,False,0.0,0.0
hammarbergIndexV_sma3nz_amean,egemaps,False,0.0,0.0
F3frequency_sma3nz_amean,egemaps,False,0.0,0.0
alphaRatioV_sma3nz_stddevNorm,egemaps,False,0.0,0.0
alphaRatioV_sma3nz_amean,egemaps,False,0.0,0.0
F3amplitudeLogRelF0_sma3nz_stddevNorm,egemaps,False,0.0,0.0
F3amplitudeLogRelF0_sma3nz_amean,egemaps,False,0.0,0.0
F3bandwidth_sma3nz_stddevNorm,egemaps,False,0.0,0.0
F3bandwidth_sma3nz_amean,egemaps,False,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_amean,egemaps,False,0.0,0.0
